well_id,well_name,latitude,longitude,source_format,total_readings,avg_amplitude,data_quality_rate,anomaly_count,first_reading,last_reading
1,CASPIAN-001,41.92630815341728,50.2939899232698,Parquet,504,0.29,0.823,4,1995-01-01 00:00:00,2024-01-01
10,CASPIAN-010,40.87085790159983,50.40141171944644,Parquet,1000,-0.01,0.827,324,2024-01-01,2024-01-01
11,CASPIAN-011,40.942996748301056,50.13082145169784,Parquet,280,0.11,0.825,104,1996-09-27 00:00:00,1997-01-17 00:00:00
12,CASPIAN-012,41.83395518161797,51.55347688857602,Parquet,270,-0.42,0.815,2,1999-09-29 00:00:00,1999-11-17 00:00:00
13,CASPIAN-013,40.89029908110816,50.64835902392692,Parquet,222,-0.3,0.86,34,1998-03-02 00:00:00,1998-08-30 00:00:00
14,CASPIAN-014,41.53993301710412,50.288344982568574,Parquet,996,0.34,0.787,0,2024-01-01,2024-01-01
15,CASPIAN-015,40.28237477683063,51.242335849420094,Parquet,264,0.22,0.777,54,1997-09-16 00:00:00,1998-06-20 00:00:00
16,CASPIAN-016,41.68782691027768,50.287639477239615,Parquet,996,-0.35,0.802,308,2024-01-01,2024-01-01
17,CASPIAN-017,41.753764220715176,50.11189462322466,Parquet,1000,0.02,0.8,14,2024-01-01,2024-01-01
18,CASPIAN-018,41.24749618420104,51.57444554732688,Parquet,996,0.12,0.804,0,2024-01-01,2024-01-01
19,CASPIAN-019,40.2159181381667,51.24569400029731,Parquet,280,0.27,0.825,0,1995-06-14 00:00:00,1995-09-27 00:00:00
2,CASPIAN-002,40.453089142646206,51.24215564670525,Parquet,1000,0.33,0.818,74,2024-01-01,2024-01-01
20,CASPIAN-020,40.90197952511923,50.30718918687618,Parquet,1000,-0.02,0.837,236,2024-01-01,2024-01-01
3,CASPIAN-003,41.66218471296945,50.14688673748408,Parquet,298,-0.47,0.802,0,2002-08-07 00:00:00,2002-11-25 00:00:00
4,CASPIAN-004,40.41866581657721,50.31372266894995,Parquet,250,0.7,0.788,66,2000-07-05 00:00:00,2000-09-11 00:00:00
5,CASPIAN-005,41.18223312773305,50.08959429858835,Parquet,294,-0.75,0.796,0,1995-06-09 00:00:00,1996-02-24 00:00:00
6,CASPIAN-006,41.77451013784253,51.83516574172938,Parquet,312,-0.64,0.792,0,2002-06-07 00:00:00,2002-09-28 00:00:00
7,CASPIAN-007,41.34907962866884,50.90402827700829,Parquet,282,0.16,0.787,0,2000-03-04 00:00:00,2000-04-18 00:00:00
8,CASPIAN-008,41.643312720724616,51.62049787658261,Parquet,304,0.18,0.829,82,2003-07-11 00:00:00,2003-11-30 00:00:00
9,CASPIAN-009,41.01700151962853,50.4311228429989,Parquet,272,0.22,0.794,46,1996-04-16 00:00:00,1996-09-26 00:00:00
